positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,IPTW,IPTW (IPS),1e-06,delta,5.7110352095752e-08,5.71212364075535e-08,0.14999628283083,1.0072684740993e-09,6.83275905292365e-10,1.47417531673139,3.05570274324287e-11,3.94841986399448e-09,-1.08843118015418e-11,0.996,-0.149996225720478,0,0.00282276460230038,4.66984430996494e-19,0,0.0224988677303886
no,1e+05,HAJEK,HAJEK (IPS),1e-06,delta,5.711035204925e-08,5.71212364075535e-08,0.14999628283083,6.6227870902156e-10,6.83275880837276e-10,0.969269847795614,3.05570263387639e-11,2.59608483481988e-09,-1.08843583035291e-11,0.948,-0.149996225720478,0,0.00992935043192656,4.66984398589635e-19,0,0.0224988677303886
no,1e+05,OSE,OSE (IPS),1e-06,delta,5.71104120354993e-08,5.71212364075535e-08,0.14999628283083,6.86524479578355e-10,6.83611321082333e-10,1.00426142517858,3.05720276825706e-11,2.69112650895736e-09,-1.08243720541768e-11,0.958,-0.149996225720418,0,0.00897061870775924,4.674416053423e-19,0,0.0224988677303706
no,1e+05,TMLE,TMLE (IPS),1e-06,delta,5.71103815132368e-08,5.71212364075535e-08,0.14999628283083,6.86524479578409e-10,6.83637157393489e-10,1.00422347169649,3.05731831175313e-11,2.69112650895757e-09,-1.08548943167231e-11,0.958,-0.149996225720448,0,0.00897061870775924,4.67477591699677e-19,0,0.0224988677303797
no,1e+05,IPTW,IPTW (IPS),1,delta,0.0551368627895184,0.0551504479439096,0.14999628283083,0.00100097545430785,0.000680368851181055,1.47122469315028,3.04270200202855e-05,0.00392375167970403,-1.3585154391215e-05,0.998,-0.0948594200413116,0,0.00199799899899875,4.63086330077262e-07,0,0.00899877247234765
no,1e+05,HAJEK,HAJEK (IPS),1,delta,0.0551387359553453,0.0551504479439096,0.14999628283083,0.000657420472260367,0.00068040494645823,0.966219419306832,3.04286342501541e-05,0.00257704089665927,-1.1711988564345e-05,0.942,-0.0948575468754847,0,0.0104533248299285,4.63088061840958e-07,0,0.00899841715012595
no,1e+05,OSE,OSE (IPS),1,delta,0.0551360284114835,0.0551504479439096,0.14999628283083,0.000674690567843947,0.000680357586252878,0.991670529551757,3.04265162373822e-05,0.00264473842736603,-1.44195324260581e-05,0.95,-0.0948602544193465,0,0.00974679434480897,4.63094368087229e-07,0,0.00899893075494831
no,1e+05,TMLE,TMLE (IPS),1,delta,0.0551360196649462,0.0551504479439096,0.14999628283083,0.000674697007875938,0.000680358269720181,0.991678998997732,3.04265468029692e-05,0.00264476367182755,-1.44282789634071e-05,0.95,-0.0948602631658838,0,0.00974679434480897,4.63095550410484e-07,0,0.00899893241527591
no,1e+05,IPTW,IPTW (IPS),2,delta,0.0993474311287209,0.0993754433112997,0.14999628283083,0.00190545233809574,0.00130198210808284,1.4635011696908,5.82264099832344e-05,0.00746923591385057,-2.80121825788458e-05,0.994,-0.0506488517021091,0,0.00345369367489359,1.69594209214068e-06,0,0.00256700133615201
no,1e+05,HAJEK,HAJEK (IPS),2,delta,0.0993594686845671,0.0993754433112997,0.14999628283083,0.00126236975642068,0.00129476264074831,0.974981604111692,5.79035455888072e-05,0.00494839851551425,-1.59746267326306e-05,0.942,-0.0506368141462629,0,0.0104533248299285,1.67666548457678e-06,0,0.00256576335717905
no,1e+05,OSE,OSE (IPS),2,delta,0.0993520680832245,0.0993754433112997,0.14999628283083,0.00126858470531285,0.00129551830992474,0.9792101706278,5.79373401417473e-05,0.00497276066750307,-2.33752280751844e-05,0.942,-0.0506442147476055,0,0.0104533248299285,1.67891409263783e-06,0,0.00256651485509293
no,1e+05,TMLE,TMLE (IPS),2,delta,0.0993515982490715,0.0993754433112997,0.14999628283083,0.00126866476356167,0.0012955849752715,0.979221577724618,5.79403215066893e-05,0.0049730744900718,-2.38450622282439e-05,0.942,-0.0506446845817585,0,0.0104533248299285,1.67910901514193e-06,0,0.00256656261681396
no,1e+05,IPTW,IPTW (IPS),3,delta,0.12696947273815,0.127007572212735,0.14999628283083,0.00255415707371701,0.00177298353736702,1.44059830217605,7.92902342508138e-05,0.0100121117506871,-3.80994745850475e-05,0.996,-0.02302681009268,0,0.00282276460230038,3.14492219373812e-06,0,0.000533377453668126
no,1e+05,HAJEK,HAJEK (IPS),3,delta,0.126995566911696,0.127007572212735,0.14999628283083,0.00170879441763513,0.0017430780595425,0.980331551005599,7.7952820624509e-05,0.00669835103109588,-1.20053010392597e-05,0.944,-0.0230007159191342,0,0.0102824121683582,3.03846524891148e-06,0,0.000532071253914374
