positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,IPTW,IPTW (IPS),1e-06,delta,5.71095729737651e-08,5.71212364075535e-08,0.14999628283083,1.00738798278273e-09,6.1358510911837e-10,1.64180643860507,2.7440360279406e-11,3.94888832942523e-09,-1.16634337884413e-11,1,-0.149996225721257,0,0,3.76622721819539e-19,0,0.0224988677306223
no,1e+05,HAJEK,HAJEK (IPS),1e-06,delta,5.71095730146354e-08,5.71212364075535e-08,0.14999628283083,6.62257565091049e-10,6.13585065516226e-10,1.07932477876376,2.74403583294589e-11,2.59600195213529e-09,-1.16633929181246e-11,0.97,-0.149996225721257,0,0.00762889244910426,3.76622667358914e-19,0,0.0224988677306223
no,1e+05,OSE,OSE (IPS),1e-06,delta,5.71090315581793e-08,5.71212364075535e-08,0.14999628283083,6.86445230760893e-10,6.13625671045625e-10,1.11867097996598,2.74421742639388e-11,2.69081585930127e-09,-1.22048493741819e-11,0.98,-0.149996225721798,0,0.00626099033699941,3.7668542251444e-19,0,0.0224988677307847
no,1e+05,TMLE,TMLE (IPS),1e-06,delta,5.71089890342158e-08,5.71212364075535e-08,0.14999628283083,6.86445230749857e-10,6.13629371670123e-10,1.11866423356097,2.74423397608976e-11,2.69081585925801e-09,-1.22473733377015e-11,0.98,-0.149996225721841,0,0.00626099033699941,3.76691003929943e-19,0,0.0224988677307975
no,1e+05,IPTW,IPTW (IPS),1,delta,0.0551447509528863,0.0551504479439096,0.14999628283083,0.00100115494959014,0.000603168714970053,1.65982572494637,2.69745249714847e-05,0.00392445528828137,-5.6969910232864e-06,0.998,-0.0948515318779437,0,0.00199799899899875,3.63844954425344e-07,0,0.00899717691209129
no,1e+05,HAJEK,HAJEK (IPS),1,delta,0.0551458095850234,0.0551504479439096,0.14999628283083,0.000657507200301275,0.000603044762077678,1.09031243059961,2.69689816296175e-05,0.00257738086433253,-4.63835888625611e-06,0.972,-0.0948504732458067,0,0.00737780455149092,3.63684499442481e-07,0,0.00899697593793855
no,1e+05,OSE,OSE (IPS),1,delta,0.0551452356884042,0.0551504479439096,0.14999628283083,0.000674731678065284,0.000603171396797833,1.11864004435117,2.69746449064691e-05,0.00264489957647246,-5.21225550536022e-06,0.974,-0.0948510471424258,0,0.00711674082709214,3.63842901522502e-07,0,0.00899708495974859
no,1e+05,TMLE,TMLE (IPS),1,delta,0.0551452356334011,0.0551504479439096,0.14999628283083,0.00067473383211143,0.000603171589159523,1.11864325879743,2.69746535091454e-05,0.0026449080201782,-5.21231050848074e-06,0.974,-0.0948510471974289,0,0.00711674082709214,3.63843134150061e-07,0,0.00899708497041485
no,1e+05,IPTW,IPTW (IPS),2,delta,0.0993704661205471,0.0993754433112997,0.14999628283083,0.00190587877934392,0.00114434799347727,1.66547133407612,5.11767980666132e-05,0.00747090753282647,-4.97719075256714e-06,0.998,-0.0506258167102829,0,0.00199799899899875,1.30955710260324e-06,0,0.00256428284991333
no,1e+05,HAJEK,HAJEK (IPS),2,delta,0.0993745323841157,0.0993754433112997,0.14999628283083,0.0012627583006421,0.00114354640433753,1.10424753718117,5.11409499104836e-05,0.00494992158087502,-9.10927184046389e-07,0.972,-0.0506217504467143,0,0.00737780455149092,1.30769920866163e-06,0,0.0025638693166683
no,1e+05,OSE,OSE (IPS),2,delta,0.0993734097470962,0.0993754433112997,0.14999628283083,0.00126886063195885,0.00114420875191915,1.10894155444156,5.11705709948282e-05,0.00497384228008017,-2.03356420347508e-06,0.974,-0.0506228730837338,0,0.00711674082709214,1.30921780335175e-06,0,0.00256398449291979
no,1e+05,TMLE,TMLE (IPS),2,delta,0.0993734098384388,0.0993754433112997,0.14999628283083,0.0012688765235124,0.00114421051753833,1.1089537319079,5.11706499557184e-05,0.0049739045738254,-2.03347286086971e-06,0.974,-0.0506228729923912,0,0.00711674082709214,1.30922184345721e-06,0,0.00256398448771221
no,1e+05,IPTW,IPTW (IPS),3,delta,0.127005535444294,0.127007572212735,0.14999628283083,0.0025548044590134,0.00154495270130118,1.65364574388699,6.90923852426273e-05,0.0100146494544172,-2.03676844133404e-06,0.998,-0.0229907473865363,0,0.00199799899899875,2.38688299768349e-06,0,0.000530961344240785
no,1e+05,HAJEK,HAJEK (IPS),3,delta,0.127013054522671,0.127007572212735,0.14999628283083,0.00170955360453353,0.00154315028773391,1.10783351312073,6.90117788574277e-05,0.0067013269890527,5.48230993581266e-06,0.974,-0.0229832283081592,0,0.00711674082709214,2.38134286625549e-06,0,0.000530610096275502
no,1e+05,OSE,OSE (IPS),3,delta,0.127011803098844,0.127007572212735,0.14999628283083,0.00169188190025117,0.00154405895764215,1.09573659210187,6.90524158111061e-05,0.00663205518117497,4.23088610945728e-06,0.974,-0.0229844797319855,0,0.00711674082709214,2.38413596507222e-06,0,0.000530670426614729
no,1e+05,TMLE,TMLE (IPS),3,delta,0.127011787427679,0.127007572212735,0.14999628283083,0.0016919210901485,0.00154408145595181,1.09574600719854,6.9053421966102e-05,0.00663220880274963,4.21521494422871e-06,0.974,-0.0229844954031508,0,0.00711674082709214,2.38420531065129e-06,0,0.000530671216480073
no,1e+05,IPTW,IPTW (IPS),4,delta,0.140664150584024,0.140663375588949,0.14999628283083,0.00290734570028231,0.00177415993843258,1.63871680185208,7.93428445058416e-05,0.0113965857263214,7.74995075265361e-07,0.998,-0.00933213224680572,0.022,0.00199799899899875,3.14764408775645e-06,0.00655987804764692,9.02363357590103e-05
no,1e+05,HAJEK,HAJEK (IPS),4,delta,0.140674028611865,0.140663375588949,0.14999628283083,0.0019573620209634,0.00177184198531294,1.10470461654496,7.92391824909583e-05,0.00767271813158959,1.06530229159912e-05,0.978,-0.009322254218965,0,0.00655987804764693,3.13953750781494e-06,0,9.00438477439284e-05
no,1e+05,OSE,OSE (IPS),4,delta,0.140672944115696,0.140663375588949,0.14999628283083,0.00192571185832864,0.0017724909310819,1.0864438427074,7.92682042280205e-05,0.00754865177385167,9.56852674651272e-06,0.976,-0.00932333871513448,0,0.00684455988358638,3.14181565747169e-06,0,9.0066368897893e-05
