positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,IPTW,IPTW (IPS),1e-06,delta,5.71651590949539e-08,5.71212364075535e-08,0.14999628283083,1.0073568422105e-09,6.95775015749968e-10,1.44781979721517,3.11160046452583e-11,3.94876626062517e-09,4.39226874003737e-11,0.99,-0.149996225665671,0,0.0044497190922574,4.86032075010339e-19,0,0.0224988677139469
no,1e+05,HAJEK,HAJEK (IPS),1e-06,delta,5.71651590774991e-08,5.71212364075535e-08,0.14999628283083,6.62279591946332e-10,6.95775028278698e-10,0.951858812157673,3.11160052055601e-11,2.59608829582139e-09,4.39226699455863e-11,0.936,-0.149996225665671,0,0.0109456840809517,4.86032090911372e-19,0,0.0224988677139469
no,1e+05,OSE,OSE (IPS),1e-06,delta,5.71655326341445e-08,5.71212364075535e-08,0.14999628283083,6.74361976287348e-10,6.95716033018771e-10,0.969306361046811,3.11133668573292e-11,2.64345037213291e-09,4.42962265909988e-11,0.936,-0.149996225665297,0,0.0109456840809517,4.85982954289577e-19,0,0.0224988677138348
no,1e+05,TMLE,TMLE (IPS),1e-06,delta,5.71652415923829e-08,5.71212364075535e-08,0.14999628283083,6.74361976387582e-10,6.95764505704921e-10,0.969238831326047,3.11155346217549e-11,2.64345037252582e-09,4.40051848294009e-11,0.936,-0.149996225665588,0,0.0109456840809517,4.86024703690682e-19,0,0.0224988677139221
no,1e+05,IPTW,IPTW (IPS),1,delta,0.0551897298072346,0.0551504479439096,0.14999628283083,0.00100103116216408,0.000682566749783836,1.46656889231874,3.05253130339549e-05,0.00392397005048776,3.92818633249871e-05,0.994,-0.0948065530235954,0,0.00345369367489359,4.67440432696753e-07,0,0.00898874839358372
no,1e+05,HAJEK,HAJEK (IPS),1,delta,0.0551887977179441,0.0551504479439096,0.14999628283083,0.000657464708749711,0.000682078677711625,0.963913299497217,3.05034857873273e-05,0.0025772143005111,3.83497740345471e-05,0.932,-0.0948074851128858,0,0.0112584190719657,4.6670202775734e-07,0,0.00898892446475266
no,1e+05,OSE,OSE (IPS),1,delta,0.0551893881153417,0.0551504479439096,0.14999628283083,0.00066523068306464,0.000682965425744875,0.974032737219613,3.05431423649525e-05,0.00260765636043535,3.89401714320416e-05,0.934,-0.0948068947154884,0,0.0111035129576184,4.67958109714036e-07,0,0.00898881372736646
no,1e+05,TMLE,TMLE (IPS),1,delta,0.055189467111478,0.0551504479439096,0.14999628283083,0.000664550101797201,0.000683135095128724,0.972794556356351,3.05507302104723e-05,0.00260498853088988,3.90191675684428e-05,0.934,-0.0948068157193519,0,0.0111035129576184,4.68196053634265e-07,0,0.00898879898040136
no,1e+05,IPTW,IPTW (IPS),2,delta,0.0994342757942374,0.0993754433112997,0.14999628283083,0.00190536133525103,0.0012993114552558,1.46643926484579,5.81069747579229e-05,0.00746887918925433,5.88324829376869e-05,0.996,-0.0505620070365926,0,0.00282276460230038,1.69167151880756e-06,0,0.0025582047658262
no,1e+05,HAJEK,HAJEK (IPS),2,delta,0.0994309956990847,0.0993754433112997,0.14999628283083,0.0012625233338722,0.00128706552003897,0.980931673030892,5.75593198860652e-05,0.00494900052806191,5.55523877849557e-05,0.944,-0.0505652871317453,0,0.0102824121683582,1.6596237206618e-06,0,0.00255850480036872
no,1e+05,OSE,OSE (IPS),2,delta,0.0994314868677357,0.0993754433112997,0.14999628283083,0.00126584936130384,0.00128940085703137,0.981734543141411,5.76637593313728e-05,0.00496203831601711,5.604355643602e-05,0.944,-0.0505647959630943,0,0.0102824121683582,1.66569545033124e-06,0,0.00255846114535947
no,1e+05,TMLE,TMLE (IPS),2,delta,0.0994316245203288,0.0993754433112997,0.14999628283083,0.00125982943885407,0.00129192425563565,0.975157354123841,5.77766091476425e-05,0.00493844065363457,5.61812090291256e-05,0.942,-0.0505646583105012,0,0.0104533248299285,1.6722246105477e-06,0,0.00255845373834004
no,1e+05,IPTW,IPTW (IPS),3,delta,0.127068494803292,0.127007572212735,0.14999628283083,0.00255373470001493,0.00176778104497874,1.44459898315384,7.90575717181617e-05,0.0100104560761989,6.09225905566506e-05,0.996,-0.0229277880275383,0,0.00282276460230038,3.12876138502627e-06,0,0.000528808513658716
no,1e+05,HAJEK,HAJEK (IPS),3,delta,0.1270635047204,0.127007572212735,0.14999628283083,0.00170902119760912,0.00172759381153029,0.989249432478158,7.72603440017938e-05,0.00669923999225876,5.59325076654568e-05,0.942,-0.0229327781104295,0,0.0104533248299285,2.98770882305151e-06,0,0.000528896892239834
no,1e+05,OSE,OSE (IPS),3,delta,0.127063479255604,0.127007572212735,0.14999628283083,0.00171472287663591,0.00172794129326942,0.992350193444077,7.72758838575864e-05,0.00672159016334662,5.59070428686858e-05,0.944,-0.0229328035752263,0,0.0102824121683582,2.98890671042791e-06,0,0.000528899260932898
no,1e+05,TMLE,TMLE (IPS),3,delta,0.12706331339202,0.127007572212735,0.14999628283083,0.0016945746668191,0.00173235684686525,0.978190301776149,7.74733534175579e-05,0.00664261063215879,5.5741179284578e-05,0.94,-0.0229329694388104,0,0.0106207344378814,3.00416732394895e-06,0,0.000528922147526293
no,1e+05,IPTW,IPTW (IPS),4,delta,0.140721516572251,0.140663375588949,0.14999628283083,0.00290584338386154,0.00203880660769786,1.42526680700859,9.11782033557632e-05,0.0113906967541652,5.81409833016218e-05,0.996,-0.00927476625857937,0.044,0.00282276460230038,4.16011275753173e-06,0.00917213170424411,9.01780215348748e-05
