positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,IPTW,IPTW (IPS),1e-06,delta,5.87295574229699e-08,5.71201187460346e-08,0.149998619629671,1.01845197318704e-09,6.87668286267836e-10,1.48102216362843,3.07534606813133e-11,3.99225837486072e-09,1.60943867693525e-09,0.712,-0.149998560900114,0,0.0202512221853398,3.06318052675364e-18,0,0.0224995682721051
no,1e+05,HAJEK,HAJEK (IPS),1e-06,delta,5.87295576239821e-08,5.71201187460346e-08,0.149998619629671,6.64458208367155e-10,6.87668264960214e-10,0.966248178408522,3.07534597284075e-11,2.60462831526327e-09,1.60943887794753e-09,0.312,-0.149998560900113,0,0.02071984555927,3.0631811444824e-18,0,0.022499568272105
no,1e+05,OSE,OSE (IPS),1e-06,delta,5.85511506568935e-08,5.71201187460346e-08,0.149998619629671,6.75852800372242e-10,6.86785254060721e-10,0.98408170003092,3.07139702804847e-11,2.64929429516026e-09,1.43103191085889e-09,0.442,-0.14999856107852,0,0.0222097275985096,2.51952631509169e-18,0,0.0224995683256266
no,1e+05,TMLE,TMLE (IPS),1e-06,delta,5.85921358795538e-08,5.71201187460346e-08,0.149998619629671,6.75852800761954e-10,6.85860576159003e-10,0.985408440512654,3.06726174275741e-11,2.64929429668791e-09,1.47201713351921e-09,0.402,-0.149998561037535,0,0.0219269696948758,2.63723917130326e-18,0,0.0224995683133311
no,1e+05,IPTW,IPTW (IPS),1,delta,0.0568965919785046,0.0551496387656171,0.149998619629671,0.00100930272822213,0.000660481998972599,1.52813056191105,2.95376529523535e-05,0.0039563939936268,0.00174695321288754,0.64,-0.0931020276511664,0,0.021466252583998,3.48808199898495e-06,0,0.00866842378922951
no,1e+05,HAJEK,HAJEK (IPS),1,delta,0.0580018864526713,0.0551496387656171,0.149998619629671,0.00066070482219043,0.000660491196908167,1.00032343395834,2.95380642965372e-05,0.00258991531181037,0.00285224768705415,0.012,-0.0919967331769998,0,0.00486949689393062,8.57156548949891e-06,0,0.00846383516386128
no,1e+05,OSE,OSE (IPS),1,delta,0.0570241215659928,0.0551496387656171,0.149998619629671,0.000663343842030852,0.000653793428320328,1.01460769303702,2.92385309793378e-05,0.00260026007949379,0.00187448280037568,0.166,-0.0929744980636782,0,0.0166399519230075,3.94113161581911e-06,0,0.00864468473603982
no,1e+05,TMLE,TMLE (IPS),1,delta,0.0568721029170635,0.0551496387656171,0.149998619629671,0.000665784964631312,0.000655634798599941,1.01548143273213,2.9320879561677e-05,0.00260982910425129,0.00172246415144635,0.258,-0.0931265167126076,0,0.0195671152702691,3.39673974215299e-06,0,0.00867297797201271
no,1e+05,IPTW,IPTW (IPS),2,delta,0.0994983745023752,0.0993750130352581,0.149998619629671,0.00184760689893513,0.00119431382218663,1.54700286023016,5.34113378575382e-05,0.0072424859590012,0.000123361467117093,0.994,-0.0505002451272958,0,0.00345369367489359,1.44160355743533e-06,0,0.00255170114342283
no,1e+05,HAJEK,HAJEK (IPS),2,delta,0.104842567202879,0.0993750130352581,0.149998619629671,0.00123561802212103,0.00119742731268118,1.03189396887427,5.35505773854003e-05,0.00484353364401167,0.00546755416762061,0.01,-0.0451560524267923,0,0.0044497190922574,3.13279807450204e-05,0,0.00204050290294037
no,1e+05,OSE,OSE (IPS),2,delta,0.103318575716895,0.0993750130352581,0.149998619629671,0.00122821105185577,0.00118214587321008,1.03896742330166,5.28671706363719e-05,0.00481449885410272,0.00394356268163706,0.092,-0.0466800439127759,0,0.01292563344676,1.69491554895481e-05,0,0.00218042396856423
